variant,config,load_fraction,trials,producers,concurrency,capacity,mean_target_eps,mean_achieved_eps,achieved_vs_target,mean_end_of_window_depth,mean_drain_tail_ms,p50_us,p99_us,p999_us,max_us
cpp,cap1,0,2,1,1,1024,0,179119,,0,0,14.4,5015.0,9575.5,14158.4
cpp,cap1,0.5,2,1,1,1024,90011,82728,0.919,0,0,24.8,2543.3,13196.8,13487.2
cpp,cap1,1,2,1,1,1024,180023,159462,0.886,0,3,15.4,4928.0,13776.1,15124.2
cpp,cap1,1.5,2,1,1,1024,270034,231483,0.857,0,0,12.9,3055.1,14408.7,14721.8
cpp,cap8,0,2,8,8,1024,0,90980,,0,4,9291.7,18407.1,32736.6,51897.2
cpp,cap8,0.5,2,8,8,1024,50462,43608,0.864,0,3,175.6,1560.3,2841.3,3521.7
cpp,cap8,1,2,8,8,1024,100923,83441,0.827,0,0,38.6,5633.9,15326.6,27526.5
cpp,cap8,1.5,2,8,8,1024,151385,105015,0.694,0,0,5102.3,8758.9,146221.8,290663.0
cs,cap1,0,2,1,1,1024,0,239952,,22,2.5,1581.6,53383.3,125950.6,147170.4
cs,cap1,0.5,2,1,1,1024,128337,102772,0.801,0,0,5.9,2730.9,3137.1,121046.1
cs,cap1,1,2,1,1,1024,256673,176114,0.686,0,0,35.1,3345.8,82772.0,121648.2
cs,cap1,1.5,2,1,1,1024,385010,228464,0.593,476,2.5,540.8,24702.4,111968.4,140832.7
cs,cap8,0,2,8,8,1024,0,340295,,0,2.5,69.0,2958.2,104532.1,115879.3
cs,cap8,0.5,2,8,8,1024,170516,121774,0.714,0,0,9.0,1121.4,35591.5,113539.2
cs,cap8,1,2,8,8,1024,341032,203758,0.597,0,0,6.3,1577.4,81598.1,97222.5
cs,cap8,1.5,2,8,8,1024,511548,266532,0.521,0,0,6.6,1614.1,69830.3,99223.6
go,cap1,0,2,1,1,1024,0,179706,,927,6.5,4664.8,8468.0,10022.2,11989.5
go,cap1,0.5,2,1,1,1024,91658,87057,0.95,0,0,3084.1,5370.9,8539.6,11773.2
go,cap1,1,2,1,1,1024,183315,172170,0.939,0,0,4544.8,6398.9,8346.7,9917.4
go,cap1,1.5,2,1,1,1024,274973,179451,0.653,662,5.5,4565.0,6475.9,15952.0,23511.1
go,cap8,0,2,8,8,1024,0,399558,,346.5,6,1894.9,3838.3,5698.3,9126.1
go,cap8,0.5,2,8,8,1024,215763,204831,0.949,0,0,559.7,2538.4,4963.7,8171.4
go,cap8,1,2,8,8,1024,431526,382121,0.886,0,0,977.7,3342.5,4155.0,7279.1
go,cap8,1.5,2,8,8,1024,647289,386148,0.597,0,0,1871.2,3587.3,4169.5,6836.7
java,cap1,0.0,2,1,1,1024,0,648341,,244.5,10.5,12.0,1288.5,1519.6,80819.2
java,cap1,0.5,2,1,1,1024,347831,323139,0.929,0,0,13.6,1058.6,1347.5,1889.2
java,cap1,1.0,2,1,1,1024,695661,597880,0.859,0,0,10.9,859.7,1044.4,1684.2
java,cap1,1.5,2,1,1,1024,1043492,679212,0.651,0,0,11.6,1782.9,1907.8,2050.9
java,cap8,0.0,2,8,8,1024,0,444318,,0,0.5,72.7,1057.5,1941.2,3405.8
java,cap8,0.5,2,8,8,1024,248992,232866,0.935,0,1,46.1,483.0,1095.1,1873.7
java,cap8,1.0,2,8,8,1024,497985,395702,0.795,0,0.5,21.6,782.3,1273.1,2855.0
java,cap8,1.5,2,8,8,1024,746977,345891,0.463,0,1,234.9,2320.4,2731.0,5123.8
python 3.13.15 (GIL),cap1,0.0,2,1,1,1024,0,41126,,245,11.5,15845.9,24079.6,26904.6,30398.1
python 3.13.15 (GIL),cap1,0.5,2,1,1,1024,20692,19713,0.953,0,0,5215.1,6090.9,6593.7,6887.1
python 3.13.15 (GIL),cap1,1.0,2,1,1,1024,41384,39290,0.949,0,0,6550.1,11454.5,12193.0,18792.7
python 3.13.15 (GIL),cap1,1.5,2,1,1,1024,62077,42375,0.683,270.5,5.5,15033.9,24034.6,25687.3,28117.4
python 3.13.15 (GIL),cap8,0.0,2,8,8,1024,0,16648,,944,26,65311.5,74863.0,158254.7,346778.8
python 3.13.15 (GIL),cap8,0.5,2,8,8,1024,8831,8339,0.944,0,2,386.9,756.1,1002.2,1916.3
python 3.13.15 (GIL),cap8,1.0,2,8,8,1024,17663,16644,0.942,0,2,667.5,1810.0,6266.5,7192.0
python 3.13.15 (GIL),cap8,1.5,2,8,8,1024,26494,23602,0.891,0,2,1002.4,14502.4,23166.6,25002.4
python 3.14.0 (free-threaded),cap1,0.0,2,1,1,1024,0,100868,,284,13.5,9697.3,11956.2,15885.0,18071.3
python 3.14.0 (free-threaded),cap1,0.5,2,1,1,1024,50438,46253,0.917,0,4,1031.0,12513.9,16271.5,16876.4
python 3.14.0 (free-threaded),cap1,1.0,2,1,1,1024,100877,94530,0.937,0,6,1602.3,7772.1,13038.9,16330.7
python 3.14.0 (free-threaded),cap1,1.5,2,1,1,1024,151315,100647,0.665,0,6,9802.8,12479.0,14991.9,16270.2
python 3.14.0 (free-threaded),cap8,0.0,2,8,8,1024,0,25366,,224.5,13.5,40255.9,46972.6,47807.2,53406.1
python 3.14.0 (free-threaded),cap8,0.5,2,8,8,1024,12741,12158,0.954,0,6,836.0,3755.6,4946.2,6637.8
python 3.14.0 (free-threaded),cap8,1.0,2,8,8,1024,25483,24289,0.953,0,3,1048.7,14282.2,21979.7,33946.7
python 3.14.0 (free-threaded),cap8,1.5,2,8,8,1024,38224,30258,0.792,0,2,20864.4,33401.7,35594.8,67255.4
rust,cap1,0,2,1,1,1024,0,679363,,0,0,10.4,1451.3,1891.7,3092.2
rust,cap1,0.5,2,1,1,1024,351494,331813,0.944,0,0,27.3,2689.3,2867.3,3101.6
rust,cap1,1,2,1,1,1024,702988,613497,0.873,0,0,13.0,436.5,551.2,624.0
rust,cap1,1.5,2,1,1,1024,1054482,677696,0.643,0,0,15.1,1464.7,2076.2,2772.6
rust,cap8,0,2,8,8,1024,0,456160,,0,0,1775.9,4586.9,119619.1,120626.3
rust,cap8,0.5,2,8,8,1024,230681,205497,0.891,312.5,3,901.8,3933.6,69729.1,134668.7
rust,cap8,1,2,8,8,1024,461361,377574,0.818,438.5,3,996.5,4408.4,67208.3,131522.0
rust,cap8,1.5,2,8,8,1024,692042,443255,0.641,79,3.5,1806.2,3809.0,125604.0,128348.3
ts,cap1,0,2,1,1,1024,0,203898,,1024,6,4454.8,10600.3,21985.1,24314.5
ts,cap1,0.5,2,1,1,1024,102383,100000,0.977,0,0,3818.6,8344.3,18386.4,25805.4
ts,cap1,1,2,1,1,1024,204766,196983,0.962,0,0,4052.4,10710.7,18493.3,20366.1
ts,cap1,1.5,2,1,1,1024,307149,201427,0.656,0,0,4518.4,10549.2,14898.7,16423.5
ts,cap8,0,2,8,8,1024,0,219670,,1024,6,4169.3,10198.4,21782.0,24662.0
ts,cap8,0.5,2,8,8,1024,110355,105163,0.953,0,0,2.6,15.5,13614.6,19693.7
ts,cap8,1,2,8,8,1024,220711,203252,0.921,0,0,1.4,9669.3,18969.0,21589.6
ts,cap8,1.5,2,8,8,1024,331066,218834,0.661,0,0,4129.1,9637.8,17820.4,18481.8
