variant,config,trials,producers,channels,min_eps,mean_eps,max_eps
cpp,chan,3,8,8,688995,712444,729640
cpp,par,3,8,1,61771,65193,67287
cpp,seq,3,1,1,129177,134563,139071
cs,chan,3,8,8,471648,475127,478715
cs,par,3,8,1,308722,321402,330499
cs,seq,3,1,1,148097,179103,196256
go,chan,3,8,8,890416,948740,1021024
go,par,3,8,1,255242,273391,284012
go,seq,3,1,1,137577,155884,170519
java,chan,3,8,8,913068,961513,1029006
java,par,3,8,1,564148,603918,625893
java,seq,3,1,1,252663,338696,414747
python 3.13.15 (GIL),chan,3,8,8,11144,11259,11329
python 3.13.15 (GIL),par,3,8,1,10944,11734,13063
python 3.13.15 (GIL),seq,3,1,1,40095,40512,40799
python 3.14.0 (free-threaded),chan,3,8,8,57679,59038,60054
python 3.14.0 (free-threaded),par,3,8,1,33617,33768,33948
python 3.14.0 (free-threaded),seq,3,1,1,34064,34864,35407
rust,chan,3,8,8,3106726,3179877,3250018
rust,par,3,8,1,705163,724560,734345
rust,seq,3,1,1,561888,584735,622431
ts,chan,3,8,8,54780,56947,58772
ts,par,3,8,1,16632,17059,17295
ts,seq,3,1,1,16628,16879,17050
